Analysis,Pair_ID,Pair_short,Pair_label,Comparison_group,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,Site_class,MalariaGEN_site_class_argument,Site_mask,FST_formula,FST_estimate,Jackknife_standard_error,n_jack,Run_status,Error_message,FST_to_SE_ratio
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:52200685-53200684,52200685,53200684,0,1000000,0.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.026708787577616,0.0105057943738668,20,success,,2.5422911040458023
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:52200685-53200684,52200685,53200684,0,1000000,0.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0162669320847164,0.0055431813677412,20,success,,2.934584132386965
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:51200685-52200684,51200685,52200684,1000000,2000000,1.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0010524714891148,0.0007195050823865,20,success,,1.4627714450937523
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:51200685-52200684,51200685,52200684,1000000,2000000,1.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0018147389178339,0.0010715666940595,20,success,,1.6935380017822155
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:50200685-51200684,50200685,51200684,2000000,3000000,2.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0007398304964677,0.0009574687862076,20,success,,0.7726941150719546
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:50200685-51200684,50200685,51200684,2000000,3000000,2.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0018943765387554,0.0010824304709507,20,success,,1.7501138314145637
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:49200685-50200684,49200685,50200684,3000000,4000000,3.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0029491125520184,0.0010833099537868,20,success,,2.7223164909632116
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:49200685-50200684,49200685,50200684,3000000,4000000,3.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0019220587439655,0.0014630779724703,20,success,,1.3137090299570602
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:48200685-49200684,48200685,49200684,4000000,5000000,4.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0003006832884342,0.0007886137138962,20,success,,0.38128082625986004
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:48200685-49200684,48200685,49200684,4000000,5000000,4.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0009665825289368,0.0005575725843413,20,success,,1.733554618864004
