Comparison_group,Pair_ID,Pair_short,Pair_label,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,N_population_1,N_population_2,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,FST0,FST4,Total_sites_available,N_sites_FST4,N_sites_FST0,Pair_order,FST4_above_0p05,FST0_above_0p05,Either_FST_above_0p05,FST4_class_specific,FST0_class_specific,FST4_joint_window,FST0_joint_window
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:52200685-53200684,52200685,53200684,0,1000000,0.5,1000000,0.0162669320847164,0.026708787577616,,2594,11296,1,False,False,False,0.026708787577616,0.0162669320847164,0.026708787577616,0.0162669320847164
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:51200685-52200684,51200685,52200684,1000000,2000000,1.5,1000000,0.0018147389178339,0.0010524714891148,,13121,53535,1,False,False,False,0.0010524714891148,0.0018147389178339,0.0010524714891148,0.0018147389178339
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:50200685-51200684,50200685,51200684,2000000,3000000,2.5,1000000,0.0018943765387554,0.0007398304964677,,8386,34569,1,False,False,False,0.0007398304964677,0.0018943765387554,0.0007398304964677,0.0018943765387554
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:49200685-50200684,49200685,50200684,3000000,4000000,3.5,1000000,0.0019220587439655,0.0029491125520184,,10742,43712,1,False,False,False,0.0029491125520184,0.0019220587439655,0.0029491125520184,0.0019220587439655
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:48200685-49200684,48200685,49200684,4000000,5000000,4.5,1000000,0.0009665825289368,0.0003006832884342,,11478,46164,1,False,False,False,0.0003006832884342,0.0009665825289368,0.0003006832884342,0.0009665825289368
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:47200685-48200684,47200685,48200684,5000000,6000000,5.5,1000000,0.0002825506282004,0.0013247456481725,,15586,61531,1,False,False,False,0.0013247456481725,0.0002825506282004,0.0013247456481725,0.0002825506282004
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:46200685-47200684,46200685,47200684,6000000,7000000,6.5,1000000,0.0,0.0001735497272657,,6874,27275,1,False,False,False,0.0001735497272657,0.0,0.0001735497272657,0.0
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:45200685-46200684,45200685,46200684,7000000,8000000,7.5,1000000,0.002360215798098,0.0030113001833196,,8172,32093,1,False,False,False,0.0030113001833196,0.002360215798098,0.0030113001833196,0.002360215798098
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:44200685-45200684,44200685,45200684,8000000,9000000,8.5,1000000,0.0,0.0,,7524,29111,1,False,False,False,0.0,0.0,0.0,0.0
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:43200685-44200684,43200685,44200684,9000000,10000000,9.5,1000000,0.0018960519075747,0.0019713982947096,,15577,58548,1,False,False,False,0.0019713982947096,0.0018960519075747,0.0019713982947096,0.0018960519075747
