Comparison_group,Pair_ID,Pair_short,Pair_label,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Distance_from_CEN_midpoint_Mb,Site_class,FST_estimate,Jackknife_standard_error,FST_to_SE_ratio,n_jack,Run_status,Error_message
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:52200685-53200684,0.5,4-fold,0.026708787577616,0.0105057943738668,2.5422911040458023,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:52200685-53200684,0.5,0-fold,0.0162669320847164,0.0055431813677412,2.934584132386965,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:51200685-52200684,1.5,4-fold,0.0010524714891148,0.0007195050823865,1.4627714450937523,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:51200685-52200684,1.5,0-fold,0.0018147389178339,0.0010715666940595,1.6935380017822155,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:50200685-51200684,2.5,4-fold,0.0007398304964677,0.0009574687862076,0.7726941150719546,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:50200685-51200684,2.5,0-fold,0.0018943765387554,0.0010824304709507,1.7501138314145637,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:49200685-50200684,3.5,4-fold,0.0029491125520184,0.0010833099537868,2.7223164909632116,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:49200685-50200684,3.5,0-fold,0.0019220587439655,0.0014630779724703,1.3137090299570602,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:48200685-49200684,4.5,4-fold,0.0003006832884342,0.0007886137138962,0.38128082625986004,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:48200685-49200684,4.5,0-fold,0.0009665825289368,0.0005575725843413,1.733554618864004,20,success,
