Contig,Region,Genomic_start_POS,Genomic_end_POS,Site_class,N_Nigeria_pairs_robust,N_nonNigeria_pairs_robust,N_all_pairs_robust,Max_absolute_FST,Mean_absolute_FST,Max_FST_excess,Any_low_site_outlier,Outlier_pairs,Nigeria_recurrent_2of3_control0,Nigeria_recurrent_3of3_control0
3R,3R:28200685-29200684,28200685,29200684,0-fold,3,1,4,0.062223381077445,0.028075155525404332,0.061540979703462104,False,BF_BanaVil vs GN_Siguiri; NG_Gombe vs BF_BanaVil; NG_Gombe vs GN_Siguiri; NG_Gombe vs ML_Faladje,False,False
3R,3R:28200685-29200684,28200685,29200684,4-fold,3,2,5,0.0816405990494552,0.0385295597777565,0.0809802449829244,False,BF_BanaVil vs GN_Siguiri; BF_BanaVil vs ML_Faladje; NG_Gombe vs BF_BanaVil; NG_Gombe vs GN_Siguiri; NG_Gombe vs ML_Faladje,False,False
3R,3R:29200685-30200684,29200685,30200684,0-fold,0,0,0,0.0010330731341933,0.00036548113635114426,0.00038264970944159996,False,,False,False
3R,3R:29200685-30200684,29200685,30200684,4-fold,0,0,0,0.0030552897337222,0.0010050091302183832,0.0023154592372544996,False,,False,False
3R,3R:30200685-31200684,30200685,31200684,0-fold,0,0,0,0.0006824013739829,0.0003529274581288333,0.00024550038647790003,False,,False,False
3R,3R:30200685-31200684,30200685,31200684,4-fold,0,0,0,0.0010004084118849,0.0003021129783183167,2.6982620145400032e-05,False,,False,False
3R,3R:31200685-32200684,31200685,32200684,0-fold,0,2,2,0.0016839211581014,0.0006139572290303834,0.0010483671117029999,False,BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje,False,False
3R,3R:31200685-32200684,31200685,32200684,4-fold,0,0,0,0.0009734257917395,0.00032000261300448507,0.00011709725326590004,False,,False,False
3R,3R:32200685-33200684,32200685,33200684,0-fold,0,2,2,0.0014240373039646,0.0006765374072912,0.0011281525327778343,False,BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje,False,False
3R,3R:32200685-33200684,32200685,33200684,4-fold,0,1,1,0.0011482561582479,0.0008013372625221166,0.001144652260888298,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:33200685-34200684,33200685,34200684,0-fold,0,0,0,0.002137144195506,0.0007233643091550667,0.0014867207707543,False,,False,False
3R,3R:33200685-34200684,33200685,34200684,4-fold,0,1,1,0.000625689089707,0.0001780063035121567,0.00028991634688259793,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:34200685-35200684,34200685,35200684,0-fold,0,2,2,0.0015257520120015,0.0007702372936570001,0.0015237916692494343,False,BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje,False,False
3R,3R:34200685-35200684,34200685,35200684,4-fold,0,1,1,0.000756231608323,0.00036851738949875,0.0004009387594636,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:35200685-36200684,35200685,36200684,0-fold,0,2,2,0.0008872800352832,0.00036725550398001666,0.0008548514055966882,False,BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje,False,False
3R,3R:35200685-36200684,35200685,36200684,4-fold,0,1,1,0.0009568951245651,0.0002532355200766077,0.00021706462809740004,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:36200685-37200684,36200685,37200684,0-fold,0,0,0,0.0006543595995997,0.000218959960531852,0.00040277054272860007,False,,False,False
3R,3R:36200685-37200684,36200685,37200684,4-fold,0,1,1,0.0008747325188383,0.00042403363677959415,0.0003342804142115,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:37200685-38200684,37200685,38200684,0-fold,0,0,0,1.7412182850089137e-05,2.902030475014856e-06,-1.960342752065685e-06,False,,False,False
3R,3R:37200685-38200684,37200685,38200684,4-fold,0,0,0,0.0006553237305582,0.0002451984597473333,0.0001267037055908,False,,False,False
3R,3R:38200685-39200684,38200685,39200684,0-fold,0,0,0,0.0011772185479538,0.0003483935634765,0.0004948171739709,False,,False,False
3R,3R:38200685-39200684,38200685,39200684,4-fold,0,0,0,0.0010526466715786,0.00028081562104139384,0.0003922926050478,False,,False,False
3R,3R:39200685-40200684,39200685,40200684,0-fold,1,3,4,0.0054313245501015,0.002030571566496384,0.0051797354932304005,False,BF_BanaVil vs GN_Siguiri; BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje; NG_Gombe vs GN_Siguiri,False,False
3R,3R:39200685-40200684,39200685,40200684,4-fold,1,1,2,0.0073881803259811,0.0022345194007197503,0.0067278262594503,True,BF_BanaVil vs GN_Siguiri; NG_Gombe vs GN_Siguiri,False,False
3R,3R:40200685-41200684,40200685,41200684,0-fold,1,0,1,0.0071479525770195,0.0018868038983431334,0.0064975291522678,True,NG_Gombe vs BF_BanaVil,False,False
3R,3R:40200685-41200684,40200685,41200684,4-fold,0,0,0,0.0,0.0,0.0,False,,False,False
3R,3R:41200685-42200684,41200685,42200684,0-fold,0,1,1,0.0010578482183179,0.00042216508620861664,0.0008062591614467999,False,GN_Siguiri vs ML_Faladje,False,False
3R,3R:41200685-42200684,41200685,42200684,4-fold,0,1,1,0.001667894185127,0.0006836540711092504,0.0006944683933874999,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:42200685-43200684,42200685,43200684,0-fold,0,0,0,2.223076450890996e-05,3.70512741815166e-06,-1.960342752065685e-06,False,,False,False
3R,3R:42200685-43200684,42200685,43200684,4-fold,0,1,1,0.0020155254192768,0.000723075127548968,0.001355171352746,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:43200685-44200684,43200685,44200684,0-fold,0,1,1,0.001937968230765,0.0009938300814146665,0.0013024141843666001,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:43200685-44200684,43200685,44200684,4-fold,0,1,1,0.0019713982947096,0.0007358091745574001,0.0012315677982419001,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:44200685-45200684,44200685,45200684,0-fold,0,1,1,0.0005010231092312,0.00017123924119783333,0.0003801836821778343,False,GN_Siguiri vs ML_Faladje,False,False
3R,3R:44200685-45200684,44200685,45200684,4-fold,0,1,1,0.0004650246636588,0.00011870058291499597,0.0002549845076729,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:45200685-46200684,45200685,46200684,0-fold,0,2,2,0.0030823482053123,0.0019299015409558167,0.0023999468313294003,False,BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje,False,False
3R,3R:45200685-46200684,45200685,46200684,4-fold,0,0,0,0.0033870375925186,0.0018087782953353669,0.0026330938062222,False,,False,False
3R,3R:46200685-47200684,46200685,47200684,0-fold,0,2,2,0.0010474773020397,0.00036916950530600003,0.0006745142904243883,False,BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje,False,False
3R,3R:46200685-47200684,46200685,47200684,4-fold,0,0,0,0.0020916720260889,0.0003775369588924333,0.0011182462343494,False,,False,False
3R,3R:47200685-48200684,47200685,48200684,0-fold,0,0,0,0.0002825506282004,4.709177136673334e-05,-1.960342752065685e-06,False,,False,False
3R,3R:47200685-48200684,47200685,48200684,4-fold,0,0,0,0.0013247456481725,0.0004733985020299667,0.0006166801183076,False,,False,False
3R,3R:48200685-49200684,48200685,49200684,0-fold,0,0,0,0.0009665825289368,0.00035716027505765,0.0003161591041851,False,,False,False
3R,3R:48200685-49200684,48200685,49200684,4-fold,0,0,0,0.0009423970350531,0.00020718005391455,0.0,False,,False,False
3R,3R:49200685-50200684,49200685,50200684,0-fold,1,2,3,0.0060175006996987,0.0017905396892055165,0.0053819466533003004,False,BF_BanaVil vs ML_Faladje; GN_Siguiri vs ML_Faladje; NG_Gombe vs ML_Faladje,False,False
3R,3R:49200685-50200684,49200685,50200684,4-fold,1,1,2,0.0043657069188622,0.002002150180842217,0.0033922811271227004,False,BF_BanaVil vs ML_Faladje; NG_Gombe vs ML_Faladje,False,False
3R,3R:50200685-51200684,50200685,51200684,0-fold,0,0,0,0.0026341351858235,0.0010955911241090999,0.0019517338118406,False,,False,False
3R,3R:50200685-51200684,50200685,51200684,4-fold,0,0,0,0.0021138389609143,0.0007813076464423333,0.0011738223547412,False,,False,False
3R,3R:51200685-52200684,51200685,52200684,0-fold,0,1,1,0.0033020507847952,0.00113531289191185,0.0026196494108123,False,GN_Siguiri vs ML_Faladje,False,False
3R,3R:51200685-52200684,51200685,52200684,4-fold,0,1,1,0.001593769665739,0.0008539658450955833,0.001007736960455,False,BF_BanaVil vs ML_Faladje,False,False
3R,3R:52200685-53200684,52200685,53200684,0-fold,2,2,4,0.0162669320847164,0.005611777554052449,0.015616508659964699,False,BF_BanaVil vs GN_Siguiri; GN_Siguiri vs ML_Faladje; NG_Gombe vs BF_BanaVil; NG_Gombe vs ML_Faladje,False,False
3R,3R:52200685-53200684,52200685,53200684,4-fold,2,2,4,0.026708787577616,0.011147460190922968,0.0259689570811483,False,BF_BanaVil vs GN_Siguiri; GN_Siguiri vs ML_Faladje; NG_Gombe vs BF_BanaVil; NG_Gombe vs ML_Faladje,False,False
X,X:10393109-11393108,10393109,11393108,0-fold,0,0,0,0.0006608036344542,0.000241094991143,0.00013847373629165,False,,False,False
X,X:10393109-11393108,10393109,11393108,4-fold,0,0,0,0.0007879528391585,0.00030706169598046664,0.0002513598070699,False,,False,False
X,X:11393109-12393108,11393109,12393108,0-fold,0,1,1,0.0032477784435242,0.0017557387353000168,0.0015824085201941002,False,BF_BanaVil vs ML_Faladje,False,False
X,X:11393109-12393108,11393109,12393108,4-fold,0,1,1,0.0023374062840766,0.0010907578947803333,0.00122998606351235,False,GN_Siguiri vs ML_Faladje,False,False
X,X:12393109-13393108,12393109,13393108,0-fold,0,0,0,0.0037177528095327,0.00140487566307275,0.0020523828862026,False,,False,False
X,X:12393109-13393108,12393109,13393108,4-fold,0,1,1,0.0032536009845227,0.0014822956611499664,0.00207313651080275,False,GN_Siguiri vs ML_Faladje,False,False
X,X:1393109-2393108,1393109,2393108,0-fold,0,0,0,0.0023577453683579,0.0009243123017591334,0.0006132993997743498,False,,False,False
X,X:1393109-2393108,1393109,2393108,4-fold,0,1,1,0.001178598065658,0.0005790107663460954,0.000521532388810201,False,GN_Siguiri vs ML_Faladje,False,False
X,X:17393109-18393108,17393109,18393108,0-fold,0,1,1,0.0062726746226581,0.0022725250242162003,0.0042950733176961,False,BF_BanaVil vs ML_Faladje,False,False
X,X:17393109-18393108,17393109,18393108,4-fold,0,0,0,0.004089755795752,0.00174048264527365,0.0028055406265386504,False,,False,False
X,X:18393109-19393108,18393109,19393108,0-fold,0,0,0,0.0029992414865876,0.0012719175897787332,0.0012547955180040498,False,,False,False
X,X:18393109-19393108,18393109,19393108,4-fold,1,0,1,0.0051275026356875,0.0023728831230894836,0.00394703816196755,False,NG_Gombe vs ML_Faladje,False,False
X,X:19393109-20393108,19393109,20393108,0-fold,0,0,0,0.0037479153257173,0.0018028324054762334,0.00215117386911855,False,,False,False
X,X:19393109-20393108,19393109,20393108,4-fold,0,0,0,0.0016652480930722,0.0008161918803053334,0.00054465338798465,False,,False,False
X,X:20393109-21393108,20393109,21393108,0-fold,0,0,0,0.0015595594511491,0.0007328577145582333,0.0015595594511491,False,,False,False
X,X:20393109-21393108,20393109,21393108,4-fold,2,1,3,0.008371684124615,0.0038163993613939836,0.007264263904050749,False,GN_Siguiri vs ML_Faladje; NG_Gombe vs GN_Siguiri; NG_Gombe vs ML_Faladje,False,False
X,X:21393109-22393108,21393109,22393108,0-fold,2,1,3,0.0162863251439931,0.006723713383729332,0.014620955220663,False,BF_BanaVil vs ML_Faladje; NG_Gombe vs GN_Siguiri; NG_Gombe vs ML_Faladje,False,False
X,X:21393109-22393108,21393109,22393108,4-fold,0,2,2,0.0027330307663706,0.0013871271961682999,0.0020682717563895,False,BF_BanaVil vs GN_Siguiri; GN_Siguiri vs ML_Faladje,False,False
X,X:22393109-23393108,22393109,23393108,0-fold,0,0,0,0.0008962256632227,0.00027053828370678334,0.00037389576506015006,False,,False,False
X,X:22393109-23393108,22393109,23393108,4-fold,0,0,0,0.0002915536614179,6.610790954323334e-05,5.6938203021000886e-05,False,,False,False
X,X:23393109-24393108,23393109,24393108,0-fold,0,0,0,0.0027305892274709,0.0015496344734953163,0.0014140645647677,False,,False,False
X,X:23393109-24393108,23393109,24393108,4-fold,0,0,0,0.0,0.0,0.0,False,,False,False
X,X:2393109-3393108,2393109,3393108,0-fold,0,0,0,0.00229374041204,0.0009913764892925568,0.0003161391070780001,False,,False,False
X,X:2393109-3393108,2393109,3393108,4-fold,0,0,0,0.0017864011792154,0.00067874010123765,0.0006059367054954501,False,,False,False
X,X:3393109-4393108,3393109,4393108,0-fold,0,0,0,0.0035852030141228,0.0010915831486007666,0.0016076017091608001,False,,False,False
X,X:3393109-4393108,3393109,4393108,4-fold,0,0,0,0.0008977440141916,0.00046050238368424996,0.0005261310362862,False,,False,False
X,X:393109-1393108,393109,1393108,0-fold,0,0,0,0.0012527161536638,0.0005127273785148168,0.0001481633868374,False,,False,False
X,X:393109-1393108,393109,1393108,4-fold,0,0,0,0.0011305840199048,0.0003851940179512667,9.917400451460087e-05,False,,False,False
X,X:4393109-5393108,4393109,5393108,0-fold,0,0,0,0.0004983410458693,0.00027641992567741745,5.402426104116693e-05,False,,False,False
X,X:4393109-5393108,4393109,5393108,4-fold,0,0,0,0.0012640043580025,0.0005254608858107,0.0,False,,False,False
X,X:5393109-6393108,5393109,6393108,0-fold,0,0,0,0.0008616593486011,0.00014532046607202163,0.0,False,,False,False
X,X:5393109-6393108,5393109,6393108,4-fold,0,0,0,0.0007521247994746,0.00026855131393853333,0.0,False,,False,False
X,X:6393109-7393108,6393109,7393108,0-fold,0,0,0,0.0012747945345603,0.0004129190927822333,0.0004774320687799,False,,False,False
X,X:6393109-7393108,6393109,7393108,4-fold,0,0,0,0.0012977183315556,0.0005814362824633166,1.6868954610449894e-05,False,,False,False
X,X:7393109-8393108,7393109,8393108,0-fold,0,0,0,0.0035621842112206,0.0014275318423041113,0.0015845829062586,False,,False,False
X,X:7393109-8393108,7393109,8393108,4-fold,0,0,0,0.0029304474510122,0.001244159076552033,0.00164623228179885,False,,False,False
X,X:8393109-9393108,8393109,9393108,0-fold,3,2,5,0.013081620214665,0.0094554239003398,0.01255929031650245,False,BF_BanaVil vs GN_Siguiri; BF_BanaVil vs ML_Faladje; NG_Gombe vs BF_BanaVil; NG_Gombe vs GN_Siguiri; NG_Gombe vs ML_Faladje,False,False
X,X:8393109-9393108,8393109,9393108,4-fold,3,2,5,0.0108774936500629,0.007069671572826433,0.00959327848084955,False,BF_BanaVil vs GN_Siguiri; BF_BanaVil vs ML_Faladje; NG_Gombe vs BF_BanaVil; NG_Gombe vs GN_Siguiri; NG_Gombe vs ML_Faladje,False,False
X,X:9393109-10393108,9393109,10393108,0-fold,0,2,2,0.0081949340833393,0.003969288433400267,0.0062173327783773,False,BF_BanaVil vs GN_Siguiri; BF_BanaVil vs ML_Faladje,False,False
