Contig,Site_class,Pair_1,Pair_2,N_matched_windows,Mean_difference,Wilcoxon_statistic,Raw_p,FDR_p
X,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BurkinaFaso_BanaVillage_vs_Mali_Faladje,20,0.00036853660458209856,43.0,0.11277865463569872,0.1611123637652839
X,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,20,0.0010610002627227586,18.0,0.05462393825457164,0.09103989709095274
X,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,20,-0.0013680501532924963,31.0,0.0042209625244140625,0.010552406311035156
X,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,20,-0.0011589901020235083,47.0,0.05340584148798349,0.09103989709095274
X,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Mali_Faladje,20,-0.001239330558466248,51.0,0.07661792341167123,0.12097566854474405
X,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,20,0.0006924636581406601,37.0,0.10894087157711467,0.15942566572260683
X,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,20,-0.0017365867578745951,6.0,0.00034155628132162525,0.0022770418754775017
X,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,20,-0.0015275267066056067,21.0,0.000850677490234375,0.003283385534703485
X,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_Mali_Faladje,20,-0.0016078671630483463,15.0,0.0021384380262505845,0.0064153140787517535
X,0-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,20,-0.002429050416015255,14.0,0.000209808349609375,0.00209808349609375
X,0-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,20,-0.002219990364746267,9.0,0.0013967480890075116,0.004655826963358372
X,0-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_Mali_Faladje,20,-0.0023003308211890067,9.0,0.0008634758631167839,0.003283385534703485
X,0-fold,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,20,0.00020906005126898833,80.0,0.36827659606933594,0.4419319152832031
