Nigeria_status,Pair_ID,Pair_label,Contig,Site_class,Mean_FST,SD_FST,N_windows,SE_FST
With Nigeria_Gombe,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,3R,0-fold,0.0036033408084104684,0.010115293545875056,25,0.002023058709175011
With Nigeria_Gombe,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,3R,4-fold,0.004710523951385676,0.01466693262559879,25,0.002933386525119758
With Nigeria_Gombe,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,X,0-fold,0.0028402093910405834,0.0030740427890237404,20,0.0006873768642000127
With Nigeria_Gombe,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,X,4-fold,0.00233464353072894,0.0025265293207480852,20,0.0005649491308339088
With Nigeria_Gombe,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,NG_Gombe vs GN_Siguiri,3R,0-fold,0.003589965867424888,0.012287163231606201,25,0.0024574326463212403
With Nigeria_Gombe,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,NG_Gombe vs GN_Siguiri,3R,4-fold,0.004391182612165439,0.01617192632250732,25,0.003234385264501464
With Nigeria_Gombe,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,NG_Gombe vs GN_Siguiri,X,0-fold,0.0026311493397715947,0.003494388014551181,20,0.0007813689140296965
With Nigeria_Gombe,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,NG_Gombe vs GN_Siguiri,X,4-fold,0.0020265951680766203,0.002431118280014624,20,0.0005436145735455067
With Nigeria_Gombe,Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,3R,0-fold,0.0035774687955386513,0.011019118977341459,25,0.0022038237954682917
With Nigeria_Gombe,Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,3R,4-fold,0.00498040245573884,0.015644946607280767,25,0.0031289893214561534
With Nigeria_Gombe,Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,X,0-fold,0.002711489796214335,0.0039208598659380535,20,0.00087673091904882
With Nigeria_Gombe,Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,X,4-fold,0.0020929297626429253,0.002205608723790043,20,0.0004931891038161094
Without Nigeria,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,3R,0-fold,0.0006997961584174641,0.0012585553889318116,25,0.0002517110777863623
Without Nigeria,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,3R,4-fold,0.0008247940060211586,0.002051833237917668,25,0.0004103666475835336
Without Nigeria,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,X,0-fold,0.001472159237748087,0.0029307934269259765,20,0.0006553453330616045
Without Nigeria,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BF_BanaVil vs GN_Siguiri,X,4-fold,0.00070422436109617,0.0018597447761091708,20,0.0004158515740180233
Without Nigeria,BurkinaFaso_BanaVillage_vs_Mali_Faladje,BF_BanaVil vs ML_Faladje,3R,0-fold,0.00029000934868188846,0.00044435892114265933,25,8.887178422853187e-05
Without Nigeria,BurkinaFaso_BanaVillage_vs_Mali_Faladje,BF_BanaVil vs ML_Faladje,3R,4-fold,0.00012974190098859838,0.00024945243954646677,25,4.9890487909293356e-05
Without Nigeria,BurkinaFaso_BanaVillage_vs_Mali_Faladje,BF_BanaVil vs ML_Faladje,X,0-fold,0.0011036226331659882,0.002507698499666109,20,0.0005607384312327653
Without Nigeria,BurkinaFaso_BanaVillage_vs_Mali_Faladje,BF_BanaVil vs ML_Faladje,X,4-fold,0.0005496074504847336,0.001568242714586765,20,0.00035066973150348074
Without Nigeria,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,GN_Siguiri vs ML_Faladje,3R,0-fold,0.0003258264064526986,0.00046568185497618606,25,9.313637099523721e-05
Without Nigeria,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,GN_Siguiri vs ML_Faladje,3R,4-fold,0.000528642607172628,0.001357412443825995,25,0.00027148248876519897
Without Nigeria,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,GN_Siguiri vs ML_Faladje,X,0-fold,0.0004111589750253284,0.0006338159116516807,20,0.0001417255463674159
Without Nigeria,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,GN_Siguiri vs ML_Faladje,X,4-fold,0.0003393041075251199,0.0006432960274366253,20,0.00014384536470038638
