curve_id,Species,Temp,Medium,Rep,Citation,Time_units,PopBio_units,model,K,r,N0,t0
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__15__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,15,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,logistic,0.1258903903925142,0.075431885381563,0.01610394820448947,
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__15__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,15,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,gompertz,0.31741819459845794,1.000000005082741e-08,,-91.09563522247836
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__25__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,25,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,logistic,0.11231545438985911,0.2591615441292955,0.015100679957470862,
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__25__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,25,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,gompertz,0.11248893007152182,0.1776106160837045,,4.917022393860442
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__35__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,35,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,logistic,0.11298654448626001,0.4605596876179509,0.00885056731834994,
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__35__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,35,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,gompertz,0.11321433038708482,0.31741824951307734,,3.93422874012686
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__5__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,logistic,0.04790023564436781,0.007615042310185242,0.018059802574624827,
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus..RDA.R.__5__TSB__1",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,gompertz,0.04856132207527171,0.0059996482758463915,,7.433098377557056
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus.1__15__TSB__1",Acinetobacter.clacoaceticus.1,15,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,logistic,0.2050172291881716,0.08450894329540863,0.03627539038404041,
"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.__Acinetobacter.clacoaceticus.1__15__TSB__1",Acinetobacter.clacoaceticus.1,15,TSB,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Hours,OD_595,gompertz,0.5165631080129647,5.665327863427134e-05,,-91.68575227900536
