"Type.of.feeding.interaction","Predator.lifestage","Location","n","slope","intercept","r_squared","F_statistic","df1","df2","p_value"
"insectivorous","larva / juvenile","Strait of Georgia",32,0.384249046154571,0.41085561349436,0.125577629410638,4.3083628793485,1,30,0.0465944025225442
"piscivorous","adult","Apalachicola Bay, Florida",86,0.315601167257102,3.02562583922434,0.13840835729043,13.4939818773465,1,84,0.000420131370657524
"piscivorous","adult","Atlantic Ocean",10994,0.260141577182116,2.73206203343089,0.167648928394048,2213.9660580383,1,10992,0
"piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",72,-0.000755719487484189,5.36953046133702,1.05682888325564e-05,0.000739788036572593,1,70,0.978378371318805
"piscivorous","adult","Eastern Mediterranean",127,0.652009130082473,1.23511522441337,0.621375968997542,205.142805962542,1,125,3.90742334690268e-28
"piscivorous","adult","Europe, Celtic Sea ecosystem",2091,0.446320367632759,2.25715038329077,0.360856572626596,1179.43695879791,1,2089,2.57239252512369e-205
"piscivorous","adult","French Polynesian EEZ",1881,-0.00344440892784059,4.2592495280504,0.000137077297159918,0.257603552962265,1,1879,0.611830912872527
"piscivorous","adult","Great Channel South, Gulf of Maine, New England",727,0.275645033772456,4.6795766321839,0.236407118878561,224.458825408692,1,725,2.09079088296614e-44
"piscivorous","adult","Great South Bay, Long Island, New York",297,0.381984962733834,1.32365013478472,0.268430572529679,108.242657392169,1,295,8.43412441946416e-22
"piscivorous","adult","Gulf of Maine, New England",81,0.0637787507225864,5.27261043036266,0.00369890195870799,0.293298135786879,1,79,0.589638854188325
"piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",389,0.107808454068975,4.94206588443967,0.0955172500566941,40.8688565638843,1,387,4.6905230810386e-10
"piscivorous","adult","Mid Atlantic",75,0.102300793203792,1.80366724832028,0.0484716094614917,3.71867778814918,1,73,0.0576960215780975
"piscivorous","adult","Off the Bay of Biscay",358,0.192985490250413,4.62236307025157,0.142626808084676,59.2217533239124,1,356,1.39971967104686e-13
"piscivorous","adult","South of Marthas Vineyard, New England",16,0.486799091516024,4.30209052253994,0.136288598876772,2.20911797828936,1,14,0.159367429953627
"piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",506,0.108492499541346,5.12134876461172,0.0385393345397011,20.2024121275,1,504,8.65041891346348e-06
"piscivorous","juvenile","Apalachicola Bay, Florida",29,0.25543106891044,3.30830689926534,0.0622128331867772,1.7911809368762,1,27,0.191944478653284
"piscivorous","juvenile","Off the Bay of Biscay",2979,4.58571503300976e-14,3.74507479158229,0.500004156244414,2977.04949296989,1,2977,0
"piscivorous","juvenile","W Greenland",21,0.709121551017254,0.5552381746578,0.62039772600606,31.0523872001444,1,19,2.25023100017494e-05
"piscivorous","larva / juvenile","Strait of Georgia",11,0.652630804441673,2.15727970672255,0.502262057547569,9.08180416316188,1,9,0.0146301686798565
"piscivorous","postlarva","Antarctic Peninsula",33,0.106773528674381,-1.09766442150068,0.038969869305227,1.25705314524184,1,31,0.270820006991041
"piscivorous","postlarva/juvenile","Antarctic Peninsula",2,NA,0.105293012452578,0,NA,NA,NA,NA
"planktivorous","adult","Eastern Mediterranean",20,-0.18852602374591,0.676577950895219,0.000777961069261611,0.0140142017500873,1,18,0.907076397953718
"planktivorous","adult","French Polynesian EEZ",138,0.0631832278723197,4.44830155910126,0.0480008709870067,6.85727355759357,1,136,0.00982944116500029
"planktivorous","juvenile","Gulf of Alaska",2,0.168911383542264,1.13499506432389,1,NA,1,0,NA
"planktivorous","larva","Antarctic Peninsula",319,1.02077538176859,4.8466778342558,0.330043815585917,156.165271662109,1,317,2.07689904818948e-29
"planktivorous","larva","Catalan Sea",439,0.257653872395841,-0.952957409501646,0.280072857461197,170.005867925651,1,437,4.70821273070404e-33
"planktivorous","larva","Greenland",49,0.258813702633504,-1.66712017658074,0.0982205090743172,5.1191715634985,1,47,0.0283256454055264
"planktivorous","larva","Western North Pacific",218,0.161010317505001,-1.49775938190212,0.0857054685549189,20.247721681768,1,216,1.11138645151163e-05
"planktivorous","larva / juvenile","Strait of Georgia",120,0.537539976546298,2.20757509090594,0.2383099678989,36.9186611704769,1,118,1.55071505486177e-08
"planktivorous","postlarva/juvenile","Antarctic Peninsula",264,0.675479706794875,2.95889440474228,0.231238785388309,78.8080363840142,1,262,1.10590667174247e-16
"predacious","adult","Atlantic Ocean",5090,0.205892717694042,2.99625946763438,0.168513283612109,1031.15969277666,1,5088,3.52233438038456e-206
"predacious","adult","Cape Cod Bay, Gulf of Maine, New England",16,0.0294846614061492,5.50150964299747,0.0302655879145209,0.436942554087626,1,14,0.519332318863807
"predacious","adult","Eastern Mediterranean",220,0.171119695188261,0.77072199709548,0.0232312986385009,5.18487447041862,1,218,0.023754605050945
"predacious","adult","French Polynesian EEZ",1992,-0.0138206603455182,4.23735380109088,0.00181756641442431,3.62354319511703,1,1990,0.0571115661405264
"predacious","adult","Great Channel South, Gulf of Maine, New England",24,0.357253501132583,5.4401357262862,0.197889961568321,5.42765823379468,1,22,0.0293962572369456
"predacious","adult","Gulf of Maine, New England",5,0,5.22530928172586,NA,NA,1,3,NA
"predacious","adult","Jeffreys Ledge, Gulf of Maine, New England",37,-0.0283090245871123,5.10538533122872,0.00621738162868246,0.218969775664338,1,35,0.642726920235099
"predacious","adult","Mid Atlantic",38,0.358208680187523,1.6356636984136,0.657742185314356,69.1838656571368,1,36,6.67328707353868e-10
"predacious","adult","Off the Bay of Biscay",473,0.203506978120733,4.52523437521698,0.0873452550974305,45.0768654638196,1,471,5.46572575916846e-11
"predacious","adult","South of Marthas Vineyard, New England",29,0.0583894765003301,4.421466477942,0.00265210461319665,0.0717972383433346,1,27,0.790774221951642
"predacious","adult","Stellwagen Bank, Gulf of Maine, New England",7,0.182768954519519,5.48173445991222,0.206194400151178,1.29877138804795,1,5,0.306072332500698
"predacious","juvenile","Gulf of Alaska",43,0.0397576284666678,0.413371163861254,0.240623932316181,12.9916936348212,1,41,0.000839430679453025
"predacious","juvenile","Off the Bay of Biscay",602,-6.23245395147955e-16,3.74507479158204,0.499901498217866,599.76364228619,1,600,2.39435510616819e-92
"predacious","juvenile","Oxwich Bay, Wales",1315,0.0778070237368165,-0.258244974791422,0.0805459740919785,115.021372469739,1,1313,8.77947893507877e-26
"predacious","juvenile","W Greenland",142,0.0432429593286009,-0.781489603152032,0.148366503387041,24.3899641768384,1,140,2.20823681054518e-06
"predacious","larva","Andaman Sea (West of South Thailand)",34,0.941421745921815,3.04236180660224,0.412420670135113,22.4607312979481,1,32,4.23336436449331e-05
