Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb
X:13393109-14393108,13393109,14393108,10000000,11000000,10.5
X:14393109-15393108,14393109,15393108,9000000,10000000,9.5
X:15393109-16393108,15393109,16393108,8000000,9000000,8.5
X:16393109-17393108,16393109,17393108,7000000,8000000,7.5
