Consensus_secondary_region_ID,Contig,Site_class,Region_start_POS,Region_end_POS,N_1Mb_windows,N_Nigeria_pairs_robust,N_nonNigeria_pairs_robust,N_all_pairs_robust,Max_FST,Mean_robust_FST,Max_FST_excess_over_local_median,Any_low_site_outlier,Regions
CSR001,3R,0-fold,28200685,29200684,1,3,1,4,0.062223381077445,0.042112733288106496,0.0615409797034621,False,3R:28200685-29200684
CSR002,3R,0-fold,31200685,33200684,2,0,2,2,0.0011301128755299,0.000476201456040525,0.0011281525327778,False,3R:31200685-32200684 | 3R:32200685-33200684
CSR003,3R,0-fold,34200685,36200684,2,0,2,2,0.0015257520120015,0.00094289298652555,0.0015237916692494,False,3R:34200685-35200684 | 3R:35200685-36200684
CSR004,3R,0-fold,39200685,42200684,3,2,3,5,0.0071479525770195,0.003288642006882133,0.0064975291522678,True,3R:39200685-40200684 | 3R:40200685-41200684 | 3R:41200685-42200684
CSR005,3R,0-fold,43200685,47200684,4,0,2,2,0.0015412186937861,0.0006956188797038,0.0015087900640995,False,3R:43200685-44200684 | 3R:44200685-45200684 | 3R:45200685-46200684 | 3R:46200685-47200684
CSR006,3R,0-fold,49200685,50200684,1,1,2,3,0.0060175006996987,0.0025913059566781004,0.0053819466533003,False,3R:49200685-50200684
CSR007,3R,0-fold,51200685,53200684,2,2,2,4,0.0162669320847164,0.006365939075246879,0.0156165086599646,False,3R:51200685-52200684 | 3R:52200685-53200684
CSR008,3R,4-fold,28200685,29200684,1,3,2,5,0.0816405990494552,0.046235471733307804,0.0809802449829244,False,3R:28200685-29200684
CSR009,3R,4-fold,32200685,37200684,5,0,1,1,0.0011482561582479,0.00035895229865784927,0.0011446522608882,False,3R:32200685-33200684 | 3R:33200685-34200684 | 3R:34200685-35200684 | 3R:35200685-36200684 | 3R:36200685-37200684
CSR010,3R,4-fold,39200685,40200684,1,1,1,2,0.0073881803259811,0.00550834643678475,0.0067278262594503,True,3R:39200685-40200684
CSR011,3R,4-fold,41200685,45200684,4,0,1,1,0.0003303188168994,0.00017027943860547772,0.0003267149195397,False,3R:41200685-42200684 | 3R:42200685-43200684 | 3R:43200685-44200684 | 3R:44200685-45200684
CSR012,3R,4-fold,49200685,50200684,1,1,1,2,0.0043657069188622,0.0024349049159083,0.0033922811271227,False,3R:49200685-50200684
CSR013,3R,4-fold,51200685,53200684,2,2,3,5,0.026708787577616,0.01304622594825892,0.0259689570811483,False,3R:51200685-52200684 | 3R:52200685-53200684
CSR014,X,0-fold,8393109,10393108,2,3,2,5,0.013081620214665,0.0090206931466611,0.0125592903165024,False,X:8393109-9393108 | X:9393109-10393108
CSR015,X,0-fold,11393109,12393108,1,0,1,1,0.0013456897827931,0.0013456897827931,0.00112734495938,False,X:11393109-12393108
CSR016,X,0-fold,17393109,18393108,1,0,1,1,0.0014368254990421,0.0014368254990421,0.001218480675629,False,X:17393109-18393108
CSR017,X,0-fold,21393109,22393108,1,2,1,3,0.0162863251439931,0.010949764267074233,0.014620955220663,False,X:21393109-22393108
CSR018,X,4-fold,1393109,2393108,1,0,1,1,0.0005696879816307,0.0005696879816307,0.0005215323888102,False,X:1393109-2393108
CSR019,X,4-fold,8393109,10393108,2,3,2,5,0.0108774936500629,0.0065898728354499,0.0095932784808495,False,X:8393109-9393108 | X:9393109-10393108
CSR020,X,4-fold,11393109,13393108,2,0,1,1,0.0009341228770037,0.00071682676899095,0.0008859672841832,False,X:11393109-12393108 | X:12393109-13393108
CSR021,X,4-fold,18393109,19393108,1,1,0,1,0.0051275026356875,0.0051275026356875,0.0039470381619675,False,X:18393109-19393108
CSR022,X,4-fold,20393109,22393108,2,2,2,4,0.008371684124615,0.00425747813513592,0.0072642639040507,False,X:20393109-21393108 | X:21393109-22393108
